Date, Open, High, Low, Close, TotalVolume, UnAdjustedClose
1999-07-01,92.72854004,93.74381602,92.09399255,93.42654228,   99395,138.03125000
1999-07-02,93.48999703,94.42066668,93.34193595,94.35721193,   37728,139.40625000
1999-07-06,94.25145402,95.26673000,93.80727077,94.33606035,  112211,139.37500000
1999-07-07,94.12454452,94.56872776,93.75439181,94.46296985,   32307,139.56250000
1999-07-08,94.12454452,95.18212367,93.91302869,94.53700039,   71015,139.67187500
1999-07-09,94.75909201,95.16097209,94.46296985,95.09751734,   29768,140.50000000
1999-07-12,95.39363950,95.39363950,94.42066668,94.67448568,   44363,139.87500000
1999-07-13,94.33606035,94.70621305,93.84957394,94.33606035,   64776,139.37500000
1999-07-14,94.75909201,94.90715309,93.91302869,94.86484992,   43825,140.15625000
1999-07-15,95.28788158,95.68976166,94.97060784,95.46767004,   33486,141.04687500
1999-07-16,95.60515533,96.21855124,95.26673000,95.98588382,   22815,141.81250000
1999-07-19,96.23970282,96.28200599,95.13982050,95.35133633,   42870,140.87500000
1999-07-20,94.84369834,95.03406259,93.08811695,93.39481490,   70601,137.98437500
1999-07-21,93.46884544,94.01878660,92.94005587,93.28905699,   47937,137.82812500
1999-07-22,93.02466220,93.40539069,91.69211247,92.06226517,   78041,136.01562500
1999-07-23,92.49587262,92.72854004,91.45944505,91.88247672,   46030,135.75000000
1999-07-26,91.29023239,92.13629571,91.12101973,91.20562606,   43334,134.75000000
1999-07-27,92.05168938,92.86602533,91.62865772,91.96708305,   59085,135.87500000
1999-07-28,92.22090204,92.94005587,91.77671880,92.26320521,   39555,136.31250000
1999-07-29,91.33253556,91.54405139,90.23265324,90.97295865,   77606,134.40625000
1999-07-30,91.24792922,91.60750614,89.72501525,89.85192474,   59943,132.75000000
1999-08-02,89.85192474,91.20562606,89.68271208,90.06344057,   60655,133.06250000
1999-08-03,90.50762382,90.59223015,88.92125509,89.64040891,   54454,132.43750000
1999-08-04,89.83077316,90.61338173,88.28670760,88.41361710,   64979,130.62500000
1999-08-05,88.58282976,89.30198359,87.20797686,89.21737725,  103220,131.81250000
1999-08-06,88.81549718,89.34428675,87.65216011,88.24440443,   75377,130.37500000
1999-08-09,88.39246551,89.20680146,87.82137277,88.05404019,   55659,130.09375000
1999-08-10,87.90597910,88.09634335,85.96003347,87.08106737,   97933,128.65625000
1999-08-11,87.77906961,88.35016235,87.05991578,88.13864652,   80034,130.21875000
1999-08-12,88.45592026,89.21737725,87.92713069,88.08576756,   70368,130.14062500
1999-08-13,89.09046775,90.19035007,88.75204243,90.12689532,   58577,133.15625000
1999-08-16,90.10574374,90.67683648,89.51349942,90.52877540,   39270,133.75000000
1999-08-17,90.99411023,91.26908081,90.10574374,91.12101973,   48080,134.62500000
1999-08-18,90.83547336,90.95180706,90.19035007,90.46532065,   43555,133.65625000
1999-08-19,89.59810575,90.17977428,89.13277092,89.72501525,   64481,132.56250000
1999-08-20,90.06344057,90.78259440,89.80962158,90.63453332,   36637,133.90625000
1999-08-23,91.24792922,92.42184208,91.14217131,92.36896313,   56378,136.46875000
1999-08-24,92.09399255,93.38423911,91.62865772,92.70738845,   92795,136.96875000
1999-08-25,92.85544954,93.93418027,92.15744730,93.65920969,   60053,138.37500000
1999-08-26,93.59575494,93.69093707,92.39011471,92.53817579,   43223,136.71875000
1999-08-27,92.64393371,92.77084320,91.41714189,91.41714189,   62474,135.06250000
1999-08-30,91.60750614,91.71326405,89.34428675,89.72501525,   46520,132.56250000
1999-08-31,89.97883424,90.52877540,88.58282976,89.38658992,  114537,132.06250000
1999-09-01,89.97883424,90.51819961,89.55580258,90.48647224,   68639,133.68750000
1999-09-02,89.42889308,89.79904579,88.43476868,89.41831729,  108963,132.10937500
1999-09-03,91.29023239,92.39011471,91.16332289,92.03053780,   91608,135.96875000
1999-09-07,92.09399255,92.47472104,91.52289980,91.69211247,   45608,135.46875000
1999-09-08,91.26908081,92.09399255,90.71913965,91.24792922,   61596,134.81250000
1999-09-09,91.20562606,91.54405139,90.48647224,91.20562606,   61778,134.75000000
1999-09-10,92.22090204,92.29493258,91.33253556,91.96708305,   29345,135.87500000
1999-09-13,91.45944505,91.69211247,91.03641339,91.34311135,   23205,134.95312500
1999-09-14,90.74029123,91.07871656,90.27495640,90.74029123,   37360,134.06250000
1999-09-15,91.67096089,91.67096089,89.25968042,89.30198359,   69845,131.93750000
1999-09-16,89.68271208,89.89422791,88.20210127,89.65098471,  153776,132.45312500
